entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"Devolucion","Cancelación de venta","Devolución","","FactTipo = 12",7.00,0,0,T,"E",2,"Ent_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",1,"",T,T,"CTXD","048","B","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","06.0004.11383",""
"DisenoExpo","Diseño de exportación","Diseño de exportación","","",7.00,0,0,T,"E",2,"ent_ImpoExpo","",0,"ORGANIZACION",F,F,"TB","EXP","B","","",""
"DisenoImpo","Diseño de importación","Diseño de importación","","",7.00,0,0,T,"E",2,"Ent_ImpoExpo","",0,"ORGANIZACION",F,F,"TB","DIM","B","","",""
"Disenoimpresion","Diseño de salida","Diseño de salida","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"TB","IMP","B","","",""
"EDICIONIMPUESTOIVACOMPRAS","IVA compras","IVA compras","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EIC","B","","",""
"EJERCICIO","Ejercicio","Ejercicio","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","EJR","B","","",""
"EMAIL","Emails","Emails","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","MIL","B","","",""
"EMAILENCOMPROBANTE","Email","Email","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EMM","B","","",""
"ENTIDADADICIONAL1","Entidad adicional 1","Entidad adicional 1","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EA1","B","","",""
"ENTIDADADICIONAL2","Entidad adicional 2","Entidad adicional 2","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EA2","B","","",""
"ENTIDADADICIONAL3","Entidad adicional 3","Entidad adicional 3","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","EA3","B","","",""
